timestamp,Temp_C,C_in_gNm3,Q_Nm3h,U1_kV,U2_kV,U3_kV,U4_kV,T1_s,T2_s,T3_s,T4_s,C_out_mgNm3,P_total_kW,Avg_U_kV,Sum_U_kV,Avg_T_s,Sum_T_s,Dust_Load_g_h,Outlet_Load_g_h,Eta,IsStandard_10,IsStandard_50,Cout_missing_flag
2024-05-01 00:00:00,125.500000,36.240000,474789.000000,55.000000,56.700000,45.800000,52.100000,203.000000,218.000000,379.000000,385.000000,50.000000,1808.400000,52.400000,209.600000,296.250000,1185.000000,17206353.360000,23739.450000,0.99862031,0,1,0
2024-05-01 00:01:00,123.800000,34.670000,449604.000000,57.700000,57.700000,47.400000,45.800000,206.000000,237.000000,389.000000,406.000000,49.700000,1760.200000,52.150000,208.600000,309.500000,1238.000000,15587770.680000,22345.318800,0.99856648,0,1,0
2024-05-01 00:02:00,126.100000,36.650000,462320.000000,57.100000,59.300000,48.700000,45.700000,211.000000,218.000000,393.000000,403.000000,50.000000,1791.200000,52.700000,210.800000,306.250000,1225.000000,16944028.000000,23116.000000,0.99863574,0,1,0
2024-05-01 00:03:00,125.400000,38.860000,472731.000000,59.900000,57.300000,50.500000,46.800000,213.000000,201.000000,397.000000,390.000000,50.000000,1855.600000,53.625000,214.500000,300.250000,1201.000000,18370326.660000,23636.550000,0.99871333,0,1,0
2024-05-01 00:04:00,124.500000,34.480000,465055.000000,59.400000,57.000000,48.700000,49.200000,215.000000,208.000000,402.000000,370.000000,50.000000,1851.400000,53.575000,214.300000,298.750000,1195.000000,16035096.400000,23252.750000,0.99854988,0,1,0
2024-05-01 00:05:00,124.000000,34.500000,461733.000000,57.600000,56.800000,48.300000,49.200000,205.000000,204.000000,399.000000,401.000000,49.750000,1825.700000,52.975000,211.900000,302.250000,1209.000000,15929788.500000,22971.216750,0.99855797,0,1,0
2024-05-01 00:06:00,124.800000,39.050000,452645.000000,55.900000,58.500000,46.200000,46.900000,216.000000,210.000000,412.000000,397.000000,49.820000,1764.900000,51.875000,207.500000,308.750000,1235.000000,17675787.250000,22550.773900,0.99872420,0,1,0
2024-05-01 00:07:00,123.800000,37.040000,449404.000000,60.100000,57.700000,49.800000,50.000000,216.000000,223.000000,391.000000,391.000000,50.000000,1862.400000,54.400000,217.600000,305.250000,1221.000000,16645924.160000,22470.200000,0.99865011,0,1,0
2024-05-01 00:08:00,125.200000,33.970000,466684.000000,57.900000,59.400000,47.500000,47.100000,205.000000,206.000000,388.000000,404.000000,49.910000,1838.500000,52.975000,211.900000,300.750000,1203.000000,15853255.480000,23292.198440,0.99853076,0,1,0
2024-05-01 00:09:00,125.200000,36.510000,472638.000000,54.800000,58.800000,45.200000,49.700000,189.000000,203.000000,373.000000,396.000000,49.820000,1835.700000,52.125000,208.500000,290.250000,1161.000000,17256013.380000,23546.825160,0.99863544,0,1,0
2024-05-01 00:10:00,125.500000,34.020000,457144.000000,55.000000,52.200000,46.300000,45.200000,200.000000,216.000000,402.000000,387.000000,50.000000,1705.500000,49.675000,198.700000,301.250000,1205.000000,15552038.880000,22857.200000,0.99853028,0,1,0
2024-05-01 00:11:00,127.700000,34.030000,451607.000000,58.900000,54.500000,49.400000,46.100000,229.000000,200.000000,398.000000,402.000000,49.960000,1787.000000,52.225000,208.900000,307.250000,1229.000000,15368186.210000,22562.285720,0.99853188,0,1,0
2024-05-01 00:12:00,124.900000,35.810000,441120.000000,55.500000,57.100000,49.500000,47.200000,190.000000,200.000000,383.000000,393.000000,50.000000,1840.900000,52.325000,209.300000,291.500000,1166.000000,15796507.200000,22056.000000,0.99860374,0,1,0
2024-05-01 00:13:00,126.600000,30.440000,453005.000000,61.800000,60.000000,42.700000,47.900000,226.000000,215.000000,393.000000,401.000000,50.000000,1808.600000,53.100000,212.400000,308.750000,1235.000000,13789472.200000,22650.250000,0.99835742,0,1,0
2024-05-01 00:14:00,125.500000,30.930000,460007.000000,56.200000,56.800000,47.800000,46.400000,189.000000,189.000000,390.000000,392.000000,49.660000,1844.800000,51.800000,207.200000,290.000000,1160.000000,14228016.510000,22843.947620,0.99839444,0,1,0
2024-05-01 00:15:00,124.800000,33.860000,473775.000000,58.100000,58.800000,45.400000,46.300000,201.000000,204.000000,392.000000,397.000000,50.000000,1819.200000,52.150000,208.600000,298.500000,1194.000000,16042021.500000,23688.750000,0.99852333,0,1,0
2024-05-01 00:16:00,125.000000,32.750000,466432.000000,58.400000,59.300000,48.800000,48.900000,206.000000,221.000000,387.000000,408.000000,49.760000,1849.500000,53.850000,215.400000,305.500000,1222.000000,15275648.000000,23209.656320,0.99848061,0,1,0
2024-05-01 00:17:00,125.100000,36.080000,463553.000000,56.600000,59.200000,49.200000,49.700000,232.000000,188.000000,392.000000,407.000000,50.000000,1856.000000,53.675000,214.700000,304.750000,1219.000000,16724992.240000,23177.650000,0.99861419,0,1,0
2024-05-01 00:18:00,125.600000,33.040000,457977.000000,53.600000,57.000000,45.900000,46.500000,211.000000,189.000000,372.000000,384.000000,49.540000,1781.700000,50.750000,203.000000,289.000000,1156.000000,15131560.080000,22688.180580,0.99850061,0,1,0
2024-05-01 00:19:00,123.700000,31.800000,456578.000000,58.500000,55.800000,48.100000,45.400000,208.000000,193.000000,385.000000,401.000000,50.000000,1808.700000,51.950000,207.800000,296.750000,1187.000000,14519180.400000,22828.900000,0.99842767,0,1,0
2024-05-01 00:20:00,123.000000,39.010000,472554.000000,56.600000,55.500000,49.700000,48.200000,199.000000,178.000000,394.000000,383.000000,49.870000,1861.300000,52.500000,210.000000,288.500000,1154.000000,18434331.540000,23566.267980,0.99872161,0,1,0
2024-05-01 00:21:00,126.200000,34.800000,462980.000000,58.300000,64.000000,50.100000,49.000000,217.000000,233.000000,382.000000,400.000000,50.000000,1884.300000,55.350000,221.400000,308.000000,1232.000000,16111704.000000,23149.000000,0.99856322,0,1,0
2024-05-01 00:22:00,126.500000,35.550000,444619.000000,57.900000,59.000000,46.400000,45.900000,204.000000,212.000000,395.000000,389.000000,49.720000,1808.500000,52.300000,209.200000,300.000000,1200.000000,15806205.450000,22106.456680,0.99860141,0,1,0
2024-05-01 00:23:00,126.300000,31.840000,456117.000000,58.600000,61.800000,50.200000,51.400000,208.000000,202.000000,415.000000,372.000000,50.000000,1927.300000,55.500000,222.000000,299.250000,1197.000000,14522765.280000,22805.850000,0.99842965,0,1,0
2024-05-01 00:24:00,125.400000,34.060000,454705.000000,61.200000,56.400000,48.600000,46.300000,206.000000,195.000000,377.000000,394.000000,50.000000,1864.500000,53.125000,212.500000,293.000000,1172.000000,15487252.300000,22735.250000,0.99853200,0,1,0
2024-05-01 00:25:00,126.400000,35.710000,457265.000000,57.000000,60.600000,47.100000,47.500000,219.000000,237.000000,368.000000,403.000000,49.790000,1783.300000,53.050000,212.200000,306.750000,1227.000000,16328933.150000,22767.224350,0.99860571,0,1,0
2024-05-01 00:26:00,126.300000,32.580000,466204.000000,57.200000,57.200000,47.900000,47.600000,220.000000,218.000000,405.000000,398.000000,49.920000,1784.300000,52.475000,209.900000,310.250000,1241.000000,15188926.320000,23272.903680,0.99846777,0,1,0
2024-05-01 00:27:00,126.400000,36.410000,460907.000000,54.800000,58.100000,49.700000,46.400000,200.000000,209.000000,416.000000,380.000000,50.000000,1806.400000,52.250000,209.000000,301.250000,1205.000000,16781623.870000,23045.350000,0.99862675,0,1,0
2024-05-01 00:28:00,124.000000,33.990000,461217.000000,57.700000,57.500000,49.600000,51.700000,203.000000,225.000000,395.000000,394.000000,50.000000,1842.200000,54.125000,216.500000,304.250000,1217.000000,15676765.830000,23060.850000,0.99852898,0,1,0
2024-05-01 00:29:00,123.600000,34.780000,472405.000000,58.900000,56.400000,49.900000,46.200000,202.000000,215.000000,391.000000,389.000000,49.660000,1828.100000,52.850000,211.400000,299.250000,1197.000000,16430245.900000,23459.632300,0.99857217,0,1,0
